Element1,Element2,Pair,Hmix_BCC_eV,Hmix_FCC_eV,Hmix_HCP_eV,Hmix_BCC_kJ_mol,Hmix_FCC_kJ_mol,Hmix_HCP_kJ_mol,avg mixing enthalpy in kJ per mole
Bi,Ti,Bi-Ti,-0.219562514,-0.093084076,-0.19925165,-21.18456379,-8.981248746,-19.2248632,-16.46355858
Bi,V,Bi-V,1.615166759,0.813561215,0.705930501,155.8399139,78.49673044,68.11194443,100.8161962
Bi,W,Bi-W,2.121900768,2.040812065,1.57998201,204.732317,196.908446,152.4451014,184.6952881
Bi,Y,Bi-Y,-2.564345699,-2.139622325,-2.353008895,-247.4217666,-206.4421875,-227.0308633,-226.9649391
Bi,Zn,Bi-Zn,0.233305166,0.192646326,0.185538309,22.51052829,18.58754629,17.9017268,19.66660046
Bi,Zr,Bi-Zr,-1.07397517,-0.811509835,-0.900996366,-103.6228594,-78.29880234,-86.93294074,-89.61820084
Cd,Co,Cd-Co,0.992412366,1.107009651,1.165459264,95.75324458,106.8102026,112.4497333,105.0043935
Cd,Cr,Cd-Cr,2.455354661,1.078672662,0.858809175,236.9057293,104.0760986,82.86249524,141.281441
Cd,Cu,Cd-Cu,0.248446254,0.36946986,0.359724747,23.97142126,35.64842506,34.70816457,31.4426703
Cd,Fe,Cd-Fe,1.08997987,0.847966752,0.785186297,105.1670784,81.81636042,75.75896688,87.58080188
Cd,Ga,Cd-Ga,0.057736303,0.125826849,0.173170038,5.570706777,12.14044628,16.70836995,11.47317434
Cd,Ge,Cd-Ge,0.01112717,0.091586986,0.14099518,1.073608781,8.836801508,13.60396788,7.838126056
Cd,Hf,Cd-Hf,-0.188608206,0.082347136,0.206730434,-18.19792691,7.945291439,19.94645619,3.231273574
Cd,Hg,Cd-Hg,0.062866093,0.079696542,0.134329955,6.065656309,7.689548,12.96087138,8.905358563
Cd,In,Cd-In,0.069385931,0.071331899,0.113797264,6.694725168,6.882482504,10.97976768,8.185658452
Cd,Ir,Cd-Ir,-0.235800811,0.754641743,0.698963252,-22.75132145,72.8118651,67.43970706,39.16675024
Cd,Mg,Cd-Mg,-0.365016508,-0.27794996,-0.276037331,-35.21874183,-26.81809639,-26.63355576,-29.55679799
Cd,Mn,Cd-Mn,0.962420667,1.134924957,1.137185015,92.85948533,109.5036204,109.7216828,104.0282628
Cd,Mo,Cd-Mo,1.398566357,0.569757626,0.817249065,134.9411505,54.97325829,78.8525539,89.58898757
Cd,Nb,Cd-Nb,0.809115385,0.155403486,0.415151159,78.06777302,14.99415821,40.0560007,44.37264398
Cd,Ni,Cd-Ni,0.388057175,0.524810147,0.453224236,37.44182847,50.63648552,43.72949453,43.93593617
Cd,Os,Cd-Os,0.454707394,1.940507827,2.147334901,43.87259749,187.2305575,207.186338,146.0964977
Cd,Pb,Cd-Pb,0.03036637,0.140589079,0.164163891,2.929909534,13.56478506,15.83940886,10.77803449
Cd,Pd,Cd-Pd,-1.235163901,-1.09967169,-1.17057826,-119.175209,-106.1021969,-112.9436414,-112.7403491
Cd,Pt,Cd-Pt,-0.967957129,-0.759877611,-0.886366595,-93.39367267,-73.31704968,-85.52138228,-84.07736821
Cd,Re,Cd-Re,1.475773572,1.907285102,2.013918064,142.3905149,184.0250516,194.3135691,173.5763785
Cd,Rh,Cd-Rh,-0.52741262,-0.050222336,-0.062162299,-50.88758596,-4.845719189,-5.99775053,-20.57701856
Cd,Ru,Cd-Ru,0.069187355,1.067482102,1.20726109,6.675565471,102.9963736,116.4829967,75.3849786
Cd,Sb,Cd-Sb,-0.110446425,-0.233544064,-0.251233516,-10.65646087,-22.5335784,-24.24035123,-19.1434635
Cd,Sc,Cd-Sc,-0.891745489,-0.617640314,-0.554948741,-86.04036668,-59.59323567,-53.54441798,-66.39267344
Cd,Si,Cd-Si,0.138414485,0.344047903,0.092824545,13.35496865,33.19557885,8.956207785,18.50225176
Cd,Sn,Cd-Sn,0.045677911,0.067016414,0.138867239,4.407248797,6.466101466,13.39865275,8.09066767
Cd,Ta,Cd-Ta,1.21195712,0.699865947,0.775084954,116.9360948,67.5268039,74.78433529,86.41574466
Cd,Te,Cd-Te,-1.405768359,-0.936431225,-1.012879155,-135.6360381,-90.35188513,-97.72798965,-107.9053043
Cd,Ti,Cd-Ti,-0.011274815,0.149323409,0.2091674,-1.087854359,14.40751986,20.18158771,11.1670844
Cd,V,Cd-V,1.171467075,0.722004842,0.828236019,113.029399,69.66288271,79.91263387,87.53497187
Cd,W,Cd-W,2.105951313,1.059143136,1.258075846,203.1934284,102.1917856,121.3858758,142.2570299
Cd,Y,Cd-Y,-1.033728586,-0.668052576,-0.63107743,-99.73965411,-64.45727996,-60.8897204,-75.02888482
Cd,Zn,Cd-Zn,0.152282254,0.235724375,0.245410046,14.69300503,22.74394647,23.67847175,20.37180775
Cd,Zr,Cd-Zr,-0.321321329,-0.185682124,-0.104405345,-31.00279765,-17.91560284,-10.07358521,-19.66399524
